rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago,effective_date
337,SE,Sea (Garena),1,0,118,1,2023-06-25 19:58:48.521072
338,ARB,AltShares Trust - AltShares Merger Arbitrage ETF,1,1,415,,2023-06-25 19:58:48.521072
339,LE,Lands' End,1,1,416,1,2023-06-25 19:58:48.521072
340,IGLB,BlackRock Institutional Trust Company N.A. - iShares 10 Year Investmen,1,0,0,,2023-06-25 19:58:48.521072
341,COIN,Coinbase,1,1,418,1,2023-06-25 19:58:48.521072
342,QYLD,Global X Funds - Global X NASDAQ 100 Covered Call ETF,1,1,419,1,2023-06-25 19:58:48.521072
343,SEEL,Seelos Therapeutics,1,16,420,1,2023-06-25 19:58:48.521072
344,BROS,Dutch Bros,1,4,422,1,2023-06-25 19:58:48.521072
345,FBMS,The First Bancshares,1,10,423,1,2023-06-25 19:58:48.521072
346,XYLD,Global X Funds - Global X S&P 500 Covered Call ETF,1,0,424,1,2023-06-25 19:58:48.521072
347,EGO,Eldorado Gold,1,1,425,1,2023-06-25 19:58:48.521072
348,MSI,Motorola Solutions,1,2,430,1,2023-06-25 19:58:48.521072
349,GNR,SSgA Active Trust - SSgA SPDR S&P Global Natural Resources ETF,1,0,426,1,2023-06-25 19:58:48.521072
350,DH,Definitive Healthcare,1,1,427,1,2023-06-25 19:58:48.521072
351,BMO,Bank of Montreal,1,6,428,1,2023-06-25 19:58:48.521072
352,STRC,Sarcos Technology and Robotics,1,1,0,,2023-06-25 19:58:48.521072
353,ET,Energy Transfer Partners,1,1,431,1,2023-06-25 19:58:48.521072
354,TBF,ProShares Trust - ProShares Short 20+ Year Treasury,1,3,435,1,2023-06-25 19:58:48.521072
355,BITF,Bitfarms,1,3,438,1,2023-06-25 19:58:48.521072
356,MRMD,MariMed,1,1,439,1,2023-06-25 19:58:48.521072
357,SPXL,Direxion Shares ETF Trust - Direxion Daily S&P 500 Bull 3X Shares,1,2,441,1,2023-06-25 19:58:48.521072
358,KMI,Kinder Morgan,1,1,0,,2023-06-25 19:58:48.521072
359,BEP,Brookfield Renewable Partners,1,1,443,1,2023-06-25 19:58:48.521072
360,FXG,First Trust Exchange-Traded Fund III - First Trust Consumer Staples Al,1,1,444,1,2023-06-25 19:58:48.521072
361,EQT,EQT Corporation,1,1,451,1,2023-06-25 19:58:48.521072
362,VIG,"Vanguard Group, Inc. - Vanguard Dividend Appreciation FTF",1,1,446,1,2023-06-25 19:58:48.521072
363,MT,ArcelorMittal,1,2,449,1,2023-06-25 19:58:48.521072
364,SSL,Sasol,1,2,450,1,2023-06-25 19:58:48.521072
365,AUD,Audacy,1,1,451,1,2023-06-25 19:58:48.521072
366,CHPT,ChargePoint,1,1,454,1,2023-06-25 19:58:48.521072
367,EA,Electronic Arts,1,15,457,1,2023-06-25 19:58:48.521072
368,AVUV,American Century ETF Trust - Avantis U.S. Small Cap Value ETF,1,0,461,1,2023-06-25 19:58:48.521072
369,DWAC,Digital World Acquisition,1,3,90,1,2023-06-25 19:58:48.521072
370,SVXY,ProShares Trust - ProShares Short VIX Short-Term Futures ETF,1,1,462,1,2023-06-25 19:58:48.521072
371,OXY,Occidental Petroleum,1,1,119,2,2023-06-25 19:58:48.521072
372,WBD,Warner Bros. Discovery,1,1,465,1,2023-06-25 19:58:48.521072
373,CAC,Camden National Bank,1,5,467,1,2023-06-25 19:58:48.521072
374,MGY,Magnolia Oil &amp; Gas,1,0,468,1,2023-06-25 19:58:48.521072
375,GL,Globe Life,1,-1,120,2,2023-06-25 19:58:48.521072
376,CI,Cigna,1,2,469,1,2023-06-25 19:58:48.521072
377,BP,BP,1,1,470,1,2023-06-25 19:58:48.521072
378,DINO,HF Sinclair,1,1,471,1,2023-06-25 19:58:48.521072
379,CLOV,Clover Health Investments,1,1,472,1,2023-06-25 19:58:48.521072
380,EPAM,EPAM Systems,1,1,473,1,2023-06-25 19:58:48.521072
381,APE,AMC APE preferred stock,1,1,91,1,2023-06-25 19:58:48.521072
382,NWG,NatWest Group,1,1,475,1,2023-06-25 19:58:48.521072
383,KR,Kroger,1,53,476,,2023-06-25 19:58:48.521072
384,UBER,Uber,1,2,477,1,2023-06-25 19:58:48.521072
385,SR,Spire Energy,1,1,478,1,2023-06-25 19:58:48.521072
386,CFA,Victory Portfolios II - VictoryShares US 500 Volatility Wtd ETF,1,2,479,2,2023-06-25 19:58:48.521072
387,AAA,Listed Funds Trust - AAF First Priority CLO Bond ETF,1,19,480,1,2023-06-25 19:58:48.521072
388,OPRA,Opera,1,1,481,1,2023-06-25 19:58:48.521072
389,ATVI,Activision Blizzard,1,2,482,1,2023-06-25 19:58:48.521072
390,GIGE,Tidal ETF Trust - SoFi Gig Economy ETF,1,1,0,,2023-06-25 19:58:48.521072
391,LNG,Cheniere Energy,1,1,75,7,2023-06-25 19:58:48.521072
392,TDG,TransDigm,1,1,483,1,2023-06-25 19:58:48.521072
393,FRC,First Republic Bank,1,-1,485,1,2023-06-25 19:58:48.521072
394,SP,SP Plus Corporation,1,5,41,8,2023-06-25 19:58:48.521072
395,FAST,Fastenal,1,11,487,1,2023-06-25 19:58:48.521072
396,CNXC,Concentrix,1,7,0,,2023-06-25 19:58:48.521072
397,WH,Wyndham Hotels &amp; Resorts,1,4,0,,2023-06-25 19:58:48.521072
398,OSTK,Overstock.com,1,2,92,1,2023-06-25 19:58:48.521072
399,RSX,VanEck Vectors ETF Trust - VanEck Vectors Russia ETF,1,1,55,5,2023-06-25 19:58:48.521072
400,BSV,"Vanguard Group, Inc. - Vanguard Short-Term Bond ETF",1,2,489,,2023-06-25 19:58:48.521072
401,POOL,POOLCORP,1,1,490,1,2023-06-25 19:58:48.521072
402,SAP,SAP,1,0,491,1,2023-06-25 19:58:48.521072
403,SOS,SOS Limited,1,2,492,1,2023-06-25 19:58:48.521072
404,VXF,"Vanguard Group, Inc. - Vanguard Extended Market Index ETF",1,2,493,1,2023-06-25 19:58:48.521072
405,CPS,Cooper Standard,1,2,0,,2023-06-25 19:58:48.521072
406,SIM,Grupo Simec,1,6,0,,2023-06-25 19:58:48.521072
407,GB,Global Blue Group,1,2,495,1,2023-06-25 19:58:48.521072
408,DV,DoubleVerify,1,2,0,,2023-06-25 19:58:48.521072
409,CLH,Clean Harbors,1,1,496,1,2023-06-25 19:58:48.521072
410,AIM,AIM ImmunoTech,1,1,0,,2023-06-25 19:58:48.521072
411,ABNB,Airbnb,1,34,735,,2023-06-25 19:58:48.521072
412,SUNW,Sunworks,1,0,499,2,2023-06-25 19:58:48.521072
413,MAGA,ETF Series Solutions Trust - Point Bridge GOP Stock Tracker ETF,1,2,501,1,2023-06-25 19:58:48.521072
414,EVGO,EVgo,1,2,502,1,2023-06-25 19:58:48.521072
415,GME,GameStop,1,1,27,8,2023-06-25 19:58:48.521072
416,VYM,"Vanguard Group, Inc. - Vanguard High Dividend Yield Indx ETF",1,1,504,1,2023-06-25 19:58:48.521072
417,NSA,National Storage,1,2,505,1,2023-06-25 19:58:48.521072
418,CURLF,Curaleaf,1,0,506,1,2023-06-25 19:58:48.521072
419,CGC,Canopy Growth,1,2,508,1,2023-06-25 19:58:48.521072
420,WEAT,Teucrium Wheat Fund,1,3,122,2,2023-06-25 19:58:48.521072
421,NI,NiSource,1,1,509,1,2023-06-25 19:58:48.521072
422,TER,Teradyne,1,4,511,1,2023-06-25 19:58:48.521072
423,AAP,Advance Auto Parts,1,2,512,1,2023-06-25 19:58:48.521072
424,PSA,Public Storage,1,17,513,1,2023-06-25 19:58:48.521072
425,NE,Noble Corporation,1,1,515,1,2023-06-25 19:58:48.521072
426,WEST,Westrock Coffee,1,3,516,1,2023-06-25 19:58:48.521072
427,RYAM,Rayonier Advanced Materials,1,1,517,1,2023-06-25 19:58:48.521072
428,DFEN,Direxion Shares ETF Trust - Direxion Daily Aerospace & Defense Bull 3X,1,2,518,1,2023-06-25 19:58:48.521072
429,RF,Regions Financial,1,2,519,1,2023-06-25 19:58:48.521072
430,MAN,ManpowerGroup,1,6,520,1,2023-06-25 19:58:48.521072
431,IWM,BlackRock Institutional Trust Company N.A. - BTC iShares Russell 2000,1,2,35,9,2023-06-25 19:58:48.521072
432,KODK,Eastman Kodak Company,1,1,502,,2023-06-25 19:58:48.521072
433,SDIG,Stronghold Digital Mining,1,0,522,1,2023-06-25 19:58:48.521072
434,HE,Hawaiian Electric Industries,1,1,523,1,2023-06-25 19:58:48.521072
435,ZM,Zoom,1,1,524,1,2023-06-25 19:58:48.521072
436,DQ,DAQO New Energy,1,3,525,1,2023-06-25 19:58:48.521072
437,UBS,UBS,1,26,526,1,2023-06-25 19:58:48.521072
438,YPF,Yacimientos Petrolíferos Fiscales,1,1,527,1,2023-06-25 19:58:48.521072
439,RKLB,Rocket Lab USA,1,2,76,4,2023-06-25 19:58:48.521072
440,BTI,British American Tobacco,1,2,528,1,2023-06-25 19:58:48.521072
441,NXPI,NXP Semiconductors,1,1,529,1,2023-06-25 19:58:48.521072
442,TELL,Tellurian,1,1,530,1,2023-06-25 19:58:48.521072
443,DARE,Dare Bioscience,1,2,532,1,2023-06-25 19:58:48.521072
444,FSLR,First Solar,1,1,533,1,2023-06-25 19:58:48.521072
445,OTLK,Outlook Therapeutics,1,1,535,1,2023-06-25 19:58:48.521072
446,HAWX,BlackRock Institutional Trust Company N.A. - BTC iShares Currency Hedg,1,1,536,1,2023-06-25 19:58:48.521072
447,QBTS,D-Wave Quantum,1,2,537,1,2023-06-25 19:58:48.521072
448,ERUS,BlackRock Institutional Trust Company N.A. - iShares MSCI Russia ETF,1,0,538,1,2023-06-25 19:58:48.521072
449,ZS,Zscaler,1,1,0,,2023-06-25 19:58:48.521072
450,CIO,City Office REIT,1,5,542,1,2023-06-25 19:58:48.521072
451,KMX,CarMax,1,3,544,1,2023-06-25 19:58:48.521072
452,LCID,Lucid Motors,1,1,123,1,2023-06-25 19:58:48.521072
453,FNDE,Schwab Strategic Trust - CSIM Schwab Fundamental Emerging Markets Larg,1,0,547,1,2023-06-25 19:58:48.521072
454,XM,Qualtrics,1,1,548,1,2023-06-25 19:58:48.521072
455,TBLT,ToughBuilt Industries,1,2,551,1,2023-06-25 19:58:48.521072
456,MJ,ETF Managers Group LLC - ETFMG Alternative Harvest ETF,1,1,553,1,2023-06-25 19:58:48.521072
457,EFTR,eFFECTOR Therapeutics,1,1,0,,2023-06-25 19:58:48.521072
458,UFPT,UFP Technologies,1,3,556,1,2023-06-25 19:58:48.521072
459,BIRD,Allbirds,1,1,557,1,2023-06-25 19:58:48.521072
460,ATR,AptarGroup,1,3,77,3,2023-06-25 19:58:48.521072
461,IFS,Intercorp Financial Services,1,2,558,1,2023-06-25 19:58:48.521072
462,GIS,General Mills,1,9,559,1,2023-06-25 19:58:48.521072
463,PFE,Pfizer,1,1,560,1,2023-06-25 19:58:48.521072
464,PCT,PureCycle Technologies,1,2,561,1,2023-06-25 19:58:48.521072
465,BX,Blackstone Group,1,1,840,,2023-06-25 19:58:48.521072
466,BRO,Brown &amp; Brown,1,3,565,1,2023-06-25 19:58:48.521072
467,IVV,iShares Core S&amp;P 500,1,4,566,1,2023-06-25 19:58:48.521072
468,ON,ON Semiconductor,1,2,124,1,2023-06-25 19:58:48.521072
469,FLNG,Flex Lng,1,2,570,1,2023-06-25 19:58:48.521072
470,DEEP,ETF Series Solutions Trust - Roundhill Acquirers Deep Value ETF,1,1,571,1,2023-06-25 19:58:48.521072
471,APLD,Applied Blockchain,1,0,574,2,2023-06-25 19:58:48.521072
472,SBSW,Sibanye-Stillwater,1,1,576,1,2023-06-25 19:58:48.521072
473,TMO,Thermo Fisher Scientific,1,1,0,,2023-06-25 19:58:48.521072
474,HYS,Pimco Exchange Traded Fund - PIMCO 0-5 Year High Yield Corporate Bond,1,0,0,,2023-06-25 19:58:48.521072
475,RTX,Raytheon Technologies,1,1,23,10,2023-06-25 19:58:48.521072
476,ONON,On Holding,1,1,580,1,2023-06-25 19:58:48.521072
477,BBLN,Babylon Holdings,1,6,581,1,2023-06-25 19:58:48.521072
478,IMAX,Imax Corp,1,0,582,1,2023-06-25 19:58:48.521072
479,TBI,TrueBlue,1,1,583,1,2023-06-25 19:58:48.521072
480,NEAR,BlackRock Institutional Trust Company N.A. - BTC BlackRock Short Matur,1,1,0,,2023-06-25 19:58:48.521072
481,WTI,W&amp;T Offshore,1,2,589,1,2023-06-25 19:58:48.521072
482,ASML,ASML,1,3,590,1,2023-06-25 19:58:48.521072
483,ATUS,Altice USA,1,1,604,,2023-06-25 19:58:48.521072
484,ARCC,Ares Capital,1,8,591,1,2023-06-25 19:58:48.521072
485,CELH,Celsius Holdings,1,3,592,1,2023-06-25 19:58:48.521072
486,FOR,Forestar Group,1,35,93,3,2023-06-25 19:58:48.521072
487,LUMN,Lumen,1,0,594,1,2023-06-25 19:58:48.521072
488,SEDG,SolarEdge,1,1,595,1,2023-06-25 19:58:48.521072
489,LXRX,Lexicon Pharmaceuticals,1,2,596,1,2023-06-25 19:58:48.521072
490,BWXT,BWX Technologies,1,2,597,1,2023-06-25 19:58:48.521072
491,SG,Sweetgreen,1,1,599,1,2023-06-25 19:58:48.521072
492,REE,REE Automotive,1,1,600,1,2023-06-25 19:58:48.521072
493,PAYX,Paychex,1,9,0,,2023-06-25 19:58:48.521072
494,FIVE,Five Below,1,1,601,1,2023-06-25 19:58:48.521072
495,SIEGY,Siemens,1,1,602,1,2023-06-25 19:58:48.521072
496,XLU,SSgA Active Trust - SSgA Utilities Select Sector SPDR,1,1,572,,2023-06-25 19:58:48.521072
497,RC,Ready Capital,1,5,603,1,2023-06-25 19:58:48.521072
498,WFH,Direxion Funds - Direxion Work From Home ETF,1,4,606,,2023-06-25 19:58:48.521072
499,DOCU,DocuSign,1,154,607,1,2023-06-25 19:58:48.521072
500,CBZ,CBIZ,1,2,608,1,2023-06-25 19:58:48.521072
501,KRUS,Kura Sushi USA,1,1,609,1,2023-06-25 19:58:48.521072
502,PSEC,Prospect Capital,1,1,607,1,2023-06-25 19:58:48.521072
503,DOW,Dow,1,-4,36,7,2023-06-25 19:58:48.521072
504,GGG,Graco,1,1,610,1,2023-06-25 19:58:48.521072
505,BOSS,Global X Funds - Global X Founder-Run Companies ETF,1,1,611,1,2023-06-25 19:58:48.521072
506,FE,FirstEnergy,1,4,612,1,2023-06-25 19:58:48.521072
507,XLF,SSgA Active Trust - SSgA Financial Select Sector SPDR,1,1,275,,2023-06-25 19:58:48.521072
508,ST,Sensata Technologies,1,2,614,1,2023-06-25 19:58:48.521072
509,CF,CF Industries,1,1,615,1,2023-06-25 19:58:48.521072
510,SKLZ,Skillz,1,5,616,1,2023-06-25 19:58:48.521072
511,VBK,"Vanguard Group, Inc. - Vanguard Small Cap Growth ETF",1,1,617,1,2023-06-25 19:58:48.521072
512,BA,Boeing,1,0,618,1,2023-06-25 19:58:48.521072
513,PR,Permian Resources,1,1,78,4,2023-06-25 19:58:48.521072
514,HON,Honeywell,1,-1,619,1,2023-06-25 19:58:48.521072
515,UDR,UDR Apartments,1,1,620,1,2023-06-25 19:58:48.521072
516,XOP,SPDR Series Trust - SSgA SPDR Oil & Gas Exploration and Production,1,2,621,1,2023-06-25 19:58:48.521072
517,UNG,United States Commodity Funds LLC - United States Natural Gas Fund,1,1,622,1,2023-06-25 19:58:48.521072
518,GLD,SSgA Active Trust - SSgA SPDR Gold Shares,1,1,94,2,2023-06-25 19:58:48.521072
519,VIXY,ProShares Trust - ProShares VIX Short-Term Futures ETF,1,7,624,1,2023-06-25 19:58:48.521072
520,NG,NovaGold Resources,1,1,625,1,2023-06-25 19:58:48.521072
521,VXX,iPath S&amp;P 500 VIX Short-Term Futures,1,1,626,1,2023-06-25 19:58:48.521072
522,MD,Mednax,1,10,628,,2023-06-25 19:58:48.521072
523,TH,Target Hospitality,1,2,629,1,2023-06-25 19:58:48.521072
524,LMND,Lemonade,1,2,630,1,2023-06-25 19:58:48.521072
525,MLM,Martin Marietta,1,1,631,1,2023-06-25 19:58:48.521072
526,BLDR,Builders FirstSource,1,3,632,1,2023-06-25 19:58:48.521072
527,MNST,Monster Beverage,1,2,633,1,2023-06-25 19:58:48.521072
528,AVB,AvalonBay Communities,1,1,634,1,2023-06-25 19:58:48.521072
529,ADM,Archer Daniels Midland,1,1,635,1,2023-06-25 19:58:48.521072
530,GH,Guardant Health,1,12,636,1,2023-06-25 19:58:48.521072
531,VHT,"Vanguard Group, Inc. - Vanguard Health Care ETF",1,1,637,1,2023-06-25 19:58:48.521072
532,MX,Magnachip,1,61,0,,2023-06-25 19:58:48.521072
533,SQ,Square,1,2,127,1,2023-06-25 19:58:48.521072
534,JNJ,Johnson & Johnson,1,1,640,1,2023-06-25 19:58:48.521072
535,TECK,Teck Resources,1,3,641,1,2023-06-25 19:58:48.521072
536,VTV,"Vanguard Group, Inc. - Vanguard Value ETF",1,1,851,,2023-06-25 19:58:48.521072
537,CM,CIBC,1,2,642,1,2023-06-25 19:58:48.521072
538,PACW,PacWest Bancorp,1,2,644,1,2023-06-25 19:58:48.521072
539,SES,SES AI,1,1,646,1,2023-06-25 19:58:48.521072
540,ASTR,Astra Space,1,1,647,1,2023-06-25 19:58:48.521072
541,CAN,Canaan,1,-1,95,2,2023-06-25 19:58:48.521072
542,EQR,Equity Residential,1,1,648,1,2023-06-25 19:58:48.521072
543,SHOP,Shopify,1,2,128,1,2023-06-25 19:58:48.521072
544,HL,Hecla Mining,1,61,0,,2023-06-25 19:58:48.521072
545,VB,"Vanguard Group, Inc. - Vanguard Small Cap ETF",1,1,0,,2023-06-25 19:58:48.521072
546,FREE,Whole Earth Brands,1,61,651,1,2023-06-25 19:58:48.521072
547,CB,Chubb,1,1,652,1,2023-06-25 19:58:48.521072
548,BLND,Blend Labs,1,1,654,1,2023-06-25 19:58:48.521072
549,CRH,Cement Roadstone Holding,1,1,655,1,2023-06-25 19:58:48.521072
550,TT,Trane Technologies,1,1,656,1,2023-06-25 19:58:48.521072
551,NOVA,Sunnova,1,1,0,,2023-06-25 19:58:48.521072
552,HERO,Global X Funds - Global X Video Games & Esports ETF,1,5,657,1,2023-06-25 19:58:48.521072
553,CN,DBX ETF Trust - Xtrackers MSCI All China Equity ETF,1,1,658,1,2023-06-25 19:58:48.521072
554,APOG,Apogee Enterprises,1,3,0,,2023-06-25 19:58:48.521072
555,ESS,Essex Property Trust,1,1,659,1,2023-06-25 19:58:48.521072
556,DEFA,BlackRock Institutional Trust Company N.A. - BTC iShares Adaptive Curr,1,2,0,,2023-06-25 19:58:48.521072
557,APPS,Digital Turbine,1,2,662,1,2023-06-25 19:58:48.521072
558,EL,Estee Lauder,1,1,664,1,2023-06-25 19:58:48.521072
559,SGOL,Aberdeen Standard Investments ETF - Aberdeen Standard Physical Gold Sh,1,1,0,,2023-06-25 19:58:48.521072
560,NINE,Nine Energy Service,1,2,666,1,2023-06-25 19:58:48.521072
561,JOBY,Joby Aviation,1,2,667,1,2023-06-25 19:58:48.521072
562,SA,Seabridge Gold,1,6,58,2,2023-06-25 19:58:48.521072
563,B,Barnes Group,1,4,649,,2023-06-25 19:58:48.521072
564,DAWN,Day One Biopharmaceuticals,1,1,670,1,2023-06-25 19:58:48.521072
565,NOC,Northrop Grumman,1,197,671,1,2023-06-25 19:58:48.521072
566,PNC,PNC Financial Services,1,1,0,,2023-06-25 19:58:48.521072
567,AMWL,American Well,1,1,673,1,2023-06-25 19:58:48.521072
568,NR,Newpark Resources,1,2,674,1,2023-06-25 19:58:48.521072
569,ARDX,Ardelyx,1,1,678,1,2023-06-25 19:58:48.521072
570,BYD,Boyd Gaming,1,-2,0,,2023-06-25 19:58:48.521072
571,NXE,NexGen Energy,1,2,681,1,2023-06-25 19:58:48.521072
572,HEI,HEICO,1,1,683,1,2023-06-25 19:58:48.521072
573,AB,AllianceBernstein,1,0,96,2,2023-06-25 19:58:48.521072
574,BY,Byline Bancorp,1,-9,685,1,2023-06-25 19:58:48.521072
575,SPR,Spirit AeroSystems,1,1,686,1,2023-06-25 19:58:48.521072
576,BBIG,Vinco Ventures,1,42,687,1,2023-06-25 19:58:48.521072
577,BORR,Borr Drilling,1,1,688,1,2023-06-25 19:58:48.521072
578,AWAY,ETF Managers Trust - ETFMG Travel Tech ETF,1,1,690,1,2023-06-25 19:58:48.521072
579,CYXT,Cyxtera Technologies,1,1,0,,2023-06-25 19:58:48.521072
580,VZ,Verizon,1,1,320,,2023-06-25 19:58:48.521072
581,MTD,Mettler-Toledo,1,3,692,1,2023-06-25 19:58:48.521072
582,VICI,VICI Properties,1,4,694,1,2023-06-25 19:58:48.521072
583,TR,Tootsie Roll Industries,1,4,695,,2023-06-25 19:58:48.521072
584,FSR,Fisker,1,1,696,1,2023-06-25 19:58:48.521072
585,CS,Credit Suisse,1,2,697,1,2023-06-25 19:58:48.521072
586,JD,Jingdong Mall,1,1,700,1,2023-06-25 19:58:48.521072
587,WULF,TeraWulf,1,3,701,1,2023-06-25 19:58:48.521072
588,UPST,Upstart,1,1,703,1,2023-06-25 19:58:48.521072
589,WANT,Direxion Shares ETF Trust - Direxion Daily Consumer Discretionary Bull,1,3,705,,2023-06-25 19:58:48.521072
590,BBY,Best Buy,1,1,707,1,2023-06-25 19:58:48.521072
591,CAVA,CAVA Group,1,4,708,1,2023-06-25 19:58:48.521072
592,SOXX,BlackRock Institutional Trust Company N.A. - BTC iShares PHLX Semicond,1,0,710,1,2023-06-25 19:58:48.521072
593,API,Agora.io,1,8,43,7,2023-06-25 19:58:48.521072
594,FDX,FedEx,1,0,711,1,2023-06-25 19:58:48.521072
595,OC,Owens Corning,1,14,712,1,2023-06-25 19:58:48.521072
596,VMD,Viemed Healthcare,1,3,715,1,2023-06-25 19:58:48.521072
597,CAT,Caterpillar,1,1,129,1,2023-06-25 19:58:48.521072
598,VEU,"Vanguard Group, Inc. - Vanguard FTSE All-World ex-US ETF",1,0,716,1,2023-06-25 19:58:48.521072
599,T,AT&T,1,1,719,1,2023-06-25 19:58:48.521072
600,SRT,StarTek,1,3,720,1,2023-06-25 19:58:48.521072
601,WDC,Western Digital,1,1,130,2,2023-06-25 19:58:48.521072
602,PSFE,Paysafe,1,2,725,1,2023-06-25 19:58:48.521072
603,FNGD,MicroSectors™ FANG+™ Index -3X Inverse Leveraged ETNs,1,1,0,,2023-06-25 19:58:48.521072
604,RGTI,Rigetti Computing,1,6,728,1,2023-06-25 19:58:48.521072
605,CL,Colgate-Palmolive,1,6,729,1,2023-06-25 19:58:48.521072
606,AKA,a.k.a. Brands,1,2,131,2,2023-06-25 19:58:48.521072
607,CLF,Cleveland-Cliffs,1,1,730,1,2023-06-25 19:58:48.521072
608,PAR,PAR Technology,1,4,731,1,2023-06-25 19:58:48.521072
609,MSOS,Advisorshares Trust - AdvisorShares Pure US Cannabis ETF,1,8,733,1,2023-06-25 19:58:48.521072
610,NGL,NGL Energy Partners,1,8,736,1,2023-06-25 19:58:48.521072
611,SCHB,Schwab Strategic Trust - CSIM Schwab U.S. Broad Market ETF,1,1,738,1,2023-06-25 19:58:48.521072
612,ERIC,Ericsson,1,3,741,1,2023-06-25 19:58:48.521072
613,TW,Tradeweb,1,0,742,1,2023-06-25 19:58:48.521072
614,FNGU,MicroSectors™ FANG+™ Index 3X Leveraged ETNs,1,1,355,,2023-06-25 19:58:48.521072
615,FFIE,Faraday Future,1,3,744,1,2023-06-25 19:58:48.521072
616,ESE,ESCO Technologies,1,1,746,1,2023-06-25 19:58:48.521072
617,SDG,iShares Trust - iShares MSCI Global Impact ETF,1,0,0,,2023-06-25 19:58:48.521072
618,ACT,Enact Holdings,1,5,749,1,2023-06-25 19:58:48.521072
619,SPXS,Direxion Shares ETF Trust - Direxion Daily S&P 500 Bear 3X Shares,1,1,750,1,2023-06-25 19:58:48.521072
620,UGE,ProShares Trust - ProShares Ultra Consumer Goods,1,107,227,,2023-06-25 19:58:48.521072
621,PLAB,Photronics,1,1,751,1,2023-06-25 19:58:48.521072
622,FLNC,Fluence Energy,1,4,752,1,2023-06-25 19:58:48.521072
623,MIR,Mirion Technologies,1,3,756,1,2023-06-25 19:58:48.521072
624,BNO,United States Commodity Funds LLC - United States Brent Crude Oil Fund,1,1,757,1,2023-06-25 19:58:48.521072
625,AMLP,ALPS Fund Services - ALPS Alerian MLP ETF,1,-1,0,,2023-06-25 19:58:48.521072
626,CVS,CVS Health,1,3,132,2,2023-06-25 19:58:48.521072
627,CHAD,Direxion Shares ETF Trust - Direxion Daily CSI 300 China A Share Bear,1,2,758,1,2023-06-25 19:58:48.521072
628,WSM,Williams-Sonoma,1,3,133,2,2023-06-25 19:58:48.521072
629,UFO,Procure ETF Trust II - Procure Space ETF,1,8,98,3,2023-06-25 19:58:48.521072
630,LYFT,Lyft,1,1,759,1,2023-06-25 19:58:48.521072
631,HAS,Hasbro,1,2,760,1,2023-06-25 19:58:48.521072
632,MARA,Marathon Digital Holdings,1,1,763,1,2023-06-25 19:58:48.521072
633,NSSC,NAPCO Security Technologies,1,2,764,1,2023-06-25 19:58:48.521072
634,CP,Canadian Pacific Railway,1,1,768,1,2023-06-25 19:58:48.521072
635,EPD,Enterprise Products,1,-1,0,,2023-06-25 19:58:48.521072
636,SMCI,Supermicro,1,2,770,1,2023-06-25 19:58:48.521072
637,SM,SM Energy,1,1,0,,2023-06-25 19:58:48.521072
638,BABA,Alibaba,1,2,80,4,2023-06-25 19:58:48.521072
639,PT,Pintec Technology,1,1,774,1,2023-06-25 19:58:48.521072
640,CWCO,Consolidated Water,1,1,775,1,2023-06-25 19:58:48.521072
641,NOW,ServiceNow,1,1,776,3,2023-06-25 19:58:48.521072
642,PHYS,Sprott Physical Gold Trust,1,-1,0,,2023-06-25 19:58:48.521072
643,TTM,Tata Motors,1,1,779,1,2023-06-25 19:58:48.521072
644,RIVN,Rivian,1,3,780,1,2023-06-25 19:58:48.521072
645,BYND,Beyond Meat,1,1,722,,2023-06-25 19:58:48.521072
646,TYL,Tyler Technologies,1,2,783,1,2023-06-25 19:58:48.521072
647,BBBY,Bed Bath &amp; Beyond,1,1,784,1,2023-06-25 19:58:48.521072
648,SIL,Global X Funds - Global X Silver Miners ETF,1,-1,0,,2023-06-25 19:58:48.521072
649,SCHE,Schwab Strategic Trust - CSIM Schwab Emerging Markets Equity ETF,1,1,787,1,2023-06-25 19:58:48.521072
650,ADBE,Adobe,1,1,788,1,2023-06-25 19:58:48.521072
651,TOP,TOP Financial Group Limited,1,3,789,1,2023-06-25 19:58:48.521072
652,RL,Ralph Lauren,1,1,0,,2023-06-25 19:58:48.521072
653,DOOO,Bombardier Recreational Products,1,1,790,1,2023-06-25 19:58:48.521072
654,SGDM,Sprott Funds Trust. - Sprott Gold Miners ETF,1,-1,0,,2023-06-25 19:58:48.521072
655,PL,Planet Labs,1,2,791,1,2023-06-25 19:58:48.521072
656,SCHH,Schwab Strategic Trust - CSIM Schwab U.S. REIT ETF,1,1,792,1,2023-06-25 19:58:48.521072
657,VGT,"Vanguard Group, Inc. - Vanguard Information Technology ETF",1,1,44,8,2023-06-25 19:58:48.521072
658,BL,BlackLine,1,2,793,1,2023-06-25 19:58:48.521072
659,SBB,ProShares Trust - ProShares Short SmallCap600,1,5,795,1,2023-06-25 19:58:48.521072
660,GO,Grocery Outlet,1,0,134,1,2023-06-25 19:58:48.521072
661,SCHA,Schwab Strategic Trust - CSIM Schwab U.S. Small-Cap ETF,1,1,797,1,2023-06-25 19:58:48.521072
662,SWBI,Smith &amp; Wesson,1,1,798,1,2023-06-25 19:58:48.521072
663,GE,General Electric,1,1,799,1,2023-06-25 19:58:48.521072
664,JPM,JPMorgan Chase,1,2,99,2,2023-06-25 19:58:48.521072
665,TGT,Target,1,1,801,1,2023-06-25 19:58:48.521072
